,Posted On,BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,house_floor,no_floor
24,5/28/2022,1,8000,400,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,1,2
25,5/22/2022,2,7000,1000,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
26,6/18/2022,1,5300,355,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,1
27,6/25/2022,2,6000,1000,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
28,6/22/2022,2,8500,800,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,4,5
29,6/25/2022,2,12500,850,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
30,5/21/2022,1,7500,350,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
31,6/26/2022,2,15000,900,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
32,6/16/2022,2,6000,550,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
33,6/29/2022,2,5000,500,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
34,5/10/2022,3,22000,1100,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
35,5/12/2022,2,15000,850,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
36,6/3/2022,2,12500,800,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent,2,2
37,5/31/2022,2,7000,630,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,3
38,6/10/2022,2,21000,900,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,1,2
39,6/24/2022,1,10000,270,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
40,6/29/2022,2,7200,630,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
41,5/12/2022,3,12000,1500,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner,Ground,2
42,6/26/2022,1,5000,600,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,5
43,4/30/2022,2,8500,700,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,4,14
44,5/27/2022,1,6000,300,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
45,6/6/2022,2,10000,1300,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner,Ground,1
46,5/20/2022,2,4600,400,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,3,3
47,7/2/2022,2,12000,650,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner,Ground,1
48,5/26/2022,3,30000,2000,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
49,5/12/2022,3,15000,1068,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
50,6/22/2022,1,7500,150,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,1
51,6/25/2022,1,7500,450,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner,2,2
52,7/3/2022,2,5000,800,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
53,4/23/2022,2,15000,1000,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
54,5/14/2022,2,11000,900,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,5,5
55,5/27/2022,1,7000,600,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
56,6/19/2022,2,6000,1200,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
57,6/19/2022,2,6000,1200,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,2,2
58,7/2/2022,2,7000,650,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
59,7/6/2022,2,8500,720,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,4,4
60,7/2/2022,1,5000,300,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,3
61,6/21/2022,3,30000,1200,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,Ground,2
62,6/4/2022,2,10000,700,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,7,8
63,6/24/2022,3,30000,2000,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
64,5/14/2022,1,3500,250,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,4
65,6/26/2022,2,8000,1100,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,3
66,7/2/2022,1,5000,300,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
67,5/5/2022,2,7500,600,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
68,5/18/2022,2,6500,800,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
69,6/7/2022,1,7500,680,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
70,6/7/2022,1,7500,680,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
71,6/26/2022,2,16000,850,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,1,4
72,6/26/2022,2,16000,850,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,1,2
73,5/30/2022,2,6500,700,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
74,5/22/2022,3,40000,1500,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
75,6/18/2022,2,12500,950,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
76,6/8/2022,2,5500,500,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
77,6/25/2022,1,5000,450,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
78,5/3/2022,2,6500,700,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
79,5/12/2022,1,8000,500,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
80,6/1/2022,3,14500,1800,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
81,5/23/2022,1,8200,500,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
82,5/23/2022,2,15000,480,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,Ground,3
83,6/21/2022,6,20000,1000,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,1
84,6/22/2022,2,6700,800,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
85,5/27/2022,1,10000,435,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
86,5/7/2022,2,7000,700,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,Ground,2
87,6/25/2022,2,22000,800,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1,Contact Agent,4,4
88,6/27/2022,2,6500,450,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
89,5/31/2022,2,8500,550,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,2,3
90,6/3/2022,2,18000,800,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent,Ground,4
91,6/27/2022,2,12000,550,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2,Contact Owner,Ground,2
92,5/15/2022,1,9000,600,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2,4
93,6/9/2022,1,6000,500,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
94,4/28/2022,2,20000,1000,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1,2
95,5/23/2022,1,5000,300,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
96,6/28/2022,2,12000,1200,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1,3
97,6/23/2022,2,10000,500,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
98,4/29/2022,4,18000,1200,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner,1,2
99,6/13/2022,2,15000,900,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,1,2
100,6/13/2022,3,22000,1300,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,Ground,2
101,6/13/2022,4,35000,1600,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,1,5
102,5/14/2022,3,21000,1450,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner,Ground,1
103,7/6/2022,2,25000,1100,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent,2,2
104,6/16/2022,2,180000,950,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,1
105,6/6/2022,1,6000,600,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8,5
106,7/4/2022,2,14000,700,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
107,5/15/2022,3,8000,750,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner,Ground,2
108,5/4/2022,2,8000,1000,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
109,4/25/2022,1,6000,220,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,2
110,5/21/2022,1,8000,300,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,1,3
111,6/27/2022,1,6000,300,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,Ground,1
112,7/2/2022,1,20000,700,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
113,7/6/2022,3,12000,800,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,1
114,4/28/2022,3,15000,1600,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
115,5/15/2022,2,14000,1000,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
116,5/30/2022,1,5000,20,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
117,6/10/2022,2,7000,400,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
118,6/23/2022,1,3900,200,Super Area,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2,2
119,6/9/2022,3,14000,840,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,4
120,6/19/2022,1,6300,300,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,1
121,7/3/2022,2,13000,550,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,1,2
122,7/3/2022,1,6800,300,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,1,2
123,5/14/2022,2,8000,800,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
124,5/10/2022,2,10000,740,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,6
125,4/25/2022,2,18000,1300,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
126,6/13/2022,2,8000,650,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
127,5/6/2022,2,8000,490,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,1
128,6/8/2022,1,4700,250,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2,2
129,6/8/2022,1,4700,250,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,1
130,5/6/2022,1,4500,450,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
131,6/30/2022,1,6000,300,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
132,6/24/2022,2,16000,750,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
133,7/1/2022,1,4700,250,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
134,6/17/2022,2,14000,751,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors,1,Contact Owner,3,3
135,6/26/2022,2,9000,900,Carpet Area,Lake Town,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,Ground,2
136,6/23/2022,2,5000,400,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
137,6/13/2022,2,17500,1000,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,Ground,2
138,6/11/2022,2,8500,1000,Carpet Area,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
139,5/26/2022,3,15000,1500,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner,1,1
140,4/25/2022,2,12500,750,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
141,5/11/2022,1,13000,1200,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
142,5/6/2022,2,8000,700,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
143,5/10/2022,2,8000,700,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4,4
144,5/21/2022,2,8000,1000,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
145,6/12/2022,2,7000,1200,Super Area,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
146,6/5/2022,2,2200,550,Super Area,Behala silpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2,3
147,6/25/2022,2,8000,800,Carpet Area,Vip Road,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,4
148,6/11/2022,2,5500,280,Super Area,New Barrakpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,3
149,7/4/2022,3,20000,1100,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,Ground,2
150,5/10/2022,2,7000,950,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,Ground,2
151,5/13/2022,1,3500,250,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
152,5/10/2022,2,5000,1000,Carpet Area,Hindmotor,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
153,6/30/2022,3,20000,1000,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
154,5/27/2022,2,7000,650,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
155,6/8/2022,2,10000,700,Super Area,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
156,5/15/2022,2,7000,700,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,3
157,6/29/2022,3,12000,1000,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
158,5/13/2022,2,14500,900,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,4
159,5/25/2022,1,6000,700,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
160,7/4/2022,2,9500,700,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
161,6/27/2022,2,10000,450,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,1
162,5/6/2022,1,3500,120,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
163,6/1/2022,2,9000,800,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
164,6/7/2022,3,40000,1220,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2,3
165,6/23/2022,3,16500,1100,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
166,6/12/2022,3,8000,700,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner,Ground,3
167,5/10/2022,2,12000,800,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,3
168,6/27/2022,2,6500,670,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner,2,2
169,4/30/2022,4,40000,1300,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,1,2
170,5/6/2022,1,5000,190,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
171,5/24/2022,2,9000,700,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
172,6/17/2022,1,7000,240,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,4
173,5/19/2022,2,18000,850,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner,2,4
174,5/26/2022,1,9000,950,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
175,6/11/2022,1,5500,450,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
176,6/8/2022,2,7500,800,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
177,7/2/2022,2,4000,600,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
178,5/30/2022,3,10500,800,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner,2,2
179,7/3/2022,3,15000,1100,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
180,6/16/2022,2,15000,800,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,2
181,5/13/2022,1,50000,2200,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner,2,5
182,6/8/2022,2,12000,950,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,1
183,4/25/2022,2,11000,550,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
184,6/4/2022,2,12000,1800,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1,1
185,5/11/2022,2,8000,1000,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,2
186,5/27/2022,2,18000,600,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
187,4/24/2022,2,8000,750,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
188,5/10/2022,2,7000,685,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,2,3
189,5/24/2022,1,6500,44,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,Ground,1
190,6/10/2022,4,13000,1200,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
191,5/5/2022,2,9000,500,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1,Contact Owner,Ground,2
192,4/29/2022,4,10000,1110,Carpet Area,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,2,2
193,5/5/2022,2,12000,1000,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
194,6/26/2022,2,5000,392,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
195,5/9/2022,2,6000,700,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
196,5/19/2022,1,5200,750,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,2,4
197,6/7/2022,3,15000,1500,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2,Contact Owner,1,2
198,4/29/2022,2,9000,900,Super Area,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,1
199,7/3/2022,1,24000,710,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1,Contact Agent,1,1
200,5/26/2022,1,5500,400,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
201,6/24/2022,1,10000,700,Carpet Area,Garia,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1,2
202,7/3/2022,2,15000,1000,Carpet Area,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
203,6/12/2022,1,4700,250,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1,2
204,5/14/2022,1,5000,500,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
